title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Opening,Drama,Family,Fantasy,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release,Rating_G,Rating_PG,Rating_PG-13,Rating_R
Rogue One: A Star Wars Story,1.0,1.0,0.0,200000000,0.0,0.0,155081681,0.0,0.0,0.0,1056057273,0.0,0.0,133.0,1.0,0.0,2016,0,0,1,0
Aladdin,0.0,1.0,1.0,28000000,1.0,0.0,196664,0.0,1.0,1.0,346476295,1.0,1.0,90.0,0.0,0.0,1992,0,0,0,0
Pirates of the Caribbean: On Stranger Tides,1.0,1.0,0.0,250000000,0.0,0.0,90151958,0.0,0.0,1.0,1045713802,0.0,0.0,137.0,0.0,0.0,2011,0,0,1,0
Despicable Me 3,0.0,1.0,1.0,80000000,1.0,1.0,72434025,0.0,1.0,0.0,1034799409,0.0,0.0,89.0,1.0,0.0,2017,0,1,0,0
Jurassic Park,1.0,1.0,0.0,63000000,0.0,0.0,47026828,0.0,0.0,0.0,912667947,0.0,0.0,127.0,1.0,1.0,1993,0,0,1,0
Star Wars: Episode I - The Phantom Menace,1.0,1.0,0.0,115000000,0.0,0.0,64820970,0.0,0.0,1.0,924305084,0.0,0.0,136.0,1.0,0.0,1999,0,1,0,0
Alice in Wonderland,0.0,1.0,0.0,200000000,0.0,0.0,116101023,0.0,1.0,1.0,1025467110,0.0,0.0,108.0,0.0,0.0,2010,0,1,0,0
Harry Potter and the Sorcerer's Stone,0.0,1.0,0.0,125000000,0.0,0.0,90294621,0.0,1.0,1.0,974755371,0.0,0.0,152.0,0.0,0.0,2001,0,1,0,0
The Dark Knight,1.0,0.0,0.0,185000000,0.0,1.0,158411483,1.0,0.0,0.0,1003045358,0.0,0.0,152.0,0.0,1.0,2008,0,0,1,0
Despicable Me 2,0.0,1.0,1.0,76000000,1.0,1.0,83517315,0.0,1.0,0.0,970766005,0.0,0.0,98.0,1.0,0.0,2013,0,1,0,0
Jumanji: Welcome to the Jungle,1.0,1.0,0.0,90000000,1.0,0.0,36169328,0.0,0.0,1.0,962077546,0.0,0.0,119.0,0.0,0.0,2017,0,0,1,0
Pirates of the Caribbean: At World's End,1.0,1.0,0.0,300000000,0.0,0.0,114732820,0.0,0.0,1.0,960996492,0.0,0.0,169.0,0.0,0.0,2007,0,0,1,0
