title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Distributor,Domestic Opening,Drama,Family,Fantasy,MPAA Rating,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release
The Hunger Games: Mockingjay - Part 2,1.0,1.0,,160000000,,,Lionsgate,102665981,,,,PG-13,658344137,,,137.0,1.0,1.0,2015
Big Hero 6,1.0,1.0,1.0,165000000,1.0,,Walt Disney Studios Motion Pictures,56215889,1.0,1.0,,PG,657827828,,,102.0,1.0,,2014
Fantastic Beasts: The Crimes of Grindelwald,,1.0,,200000000,,,Warner Bros.,62163104,,1.0,1.0,PG-13,654855901,,,134.0,,,2018
Pirates of the Caribbean: The Curse of the Black Pearl,1.0,1.0,,140000000,,,Walt Disney Studios Motion Pictures,46630690,,,1.0,PG-13,654264015,,,143.0,,,2003
Star Wars: Episode II - Attack of the Clones,1.0,1.0,,115000000,,,Twentieth Century Fox,80027814,,,1.0,PG,645256452,,,142.0,1.0,,2002
Thor: The Dark World,1.0,1.0,,170000000,,,Walt Disney Studios Motion Pictures,85737841,,,1.0,PG-13,644783140,,,112.0,,,2013
Sing,,,1.0,75000000,1.0,,Universal Pictures,35258145,,1.0,,PG,634151679,1.0,,108.0,,,2016
Kung Fu Panda,1.0,1.0,1.0,130000000,1.0,,DreamWorks,60239130,,1.0,,PG,631744560,,,92.0,,,2008
The Incredibles,1.0,1.0,1.0,92000000,,,Walt Disney Studios Motion Pictures,70467623,,1.0,,,631442092,,,115.0,,,2004
The Martian,,1.0,,108000000,,,Twentieth Century Fox,54308575,1.0,,,PG-13,630161890,,,144.0,1.0,,2015
Hancock,1.0,,,150000000,,,Sony Pictures Entertainment (SPE),62603879,1.0,,1.0,PG-13,629443428,,,92.0,,,2008
Fast Five,1.0,1.0,,125000000,,1.0,Universal Pictures,86198765,,,,PG-13,626137675,,,130.0,,1.0,2011
Men in Black 3,1.0,1.0,,225000000,1.0,,Sony Pictures Entertainment (SPE),54592779,,,,PG-13,624026776,,,106.0,1.0,,2012
Iron Man 2,1.0,1.0,,200000000,,,Paramount Pictures,128122480,,,,PG-13,623933331,,,124.0,1.0,,2010
Ratatouille,,1.0,1.0,150000000,1.0,,Walt Disney Studios Motion Pictures,47027395,,1.0,1.0,G,623726085,,,111.0,,,2007
How to Train Your Dragon 2,1.0,1.0,1.0,145000000,1.0,,Twentieth Century Fox,49451322,,1.0,1.0,PG,621537519,,,102.0,,,2014
Logan,1.0,,,97000000,,,Twentieth Century Fox,88411916,1.0,,,R,619021436,,,137.0,1.0,1.0,2017
The Lost World: Jurassic Park,1.0,1.0,,73000000,,,Universal Pictures,72132785,,,,PG-13,618638999,,,129.0,1.0,,1997
Casino Royale,1.0,1.0,,150000000,,,Sony Pictures Entertainment (SPE),40833156,,,,PG-13,605999592,,,144.0,,1.0,2006
The Passion of the Christ,,,,30000000,,,Newmarket Films,83848082,1.0,,,R,611486736,,,127.0,,,2004
Mamma Mia!,,,,52000000,1.0,,Universal Pictures,27751240,,,,PG-13,609841637,1.0,1.0,108.0,,,2008
Life of Pi,,1.0,,120000000,,,Twentieth Century Fox,22451514,1.0,,1.0,PG,609016565,,,127.0,,,2012
Transformers: The Last Knight,1.0,1.0,,217000000,,,Paramount Pictures,44680073,,,,PG-13,605425157,,,154.0,1.0,,2017
Madagascar: Escape 2 Africa,,1.0,1.0,150000000,1.0,,DreamWorks,63106589,,1.0,,PG,603900354,,,89.0,,,2008
War of the Worlds,1.0,1.0,,132000000,,,Paramount Pictures,64878725,,,,PG-13,603873119,,,116.0,1.0,,2005
Tangled,,1.0,1.0,260000000,1.0,,Walt Disney Studios Motion Pictures,48767052,,1.0,1.0,PG,592461732,1.0,1.0,100.0,,,2010
Quantum of Solace,1.0,1.0,,200000000,,,Sony Pictures Entertainment (SPE),67528882,,,,PG-13,589580482,,,106.0,,1.0,2008
Men in Black,1.0,1.0,,90000000,1.0,,Sony Pictures Entertainment (SPE),51068455,,,,PG-13,250690539,,,98.0,1.0,,1997
