title,Year of Release,Domestic Distributor,Domestic Opening,Budget,MPAA Rating,Running Time,Genres,Original Release Gross Worldwide
Spider-Man: Far from Home,2019,Sony Pictures Entertainment (SPE),92579212,160000000,PG-13,129.0,"['Action', 'Adventure', 'Science fiction']",1131927996
Captain Marvel,2019,Walt Disney Studios Motion Pictures,153433423,160000000,PG-13,123.0,"['Action', 'Adventure', 'Science fiction']",1128274794
Transformers: Dark of the Moon,2011,DreamWorks,97852865,195000000,PG-13,154.0,"['Action', 'Adventure', 'Science fiction']",1123794079
Skyfall,2012,Sony Pictures Entertainment (SPE),88364714,200000000,PG-13,143.0,"['Action', 'Adventure', 'Thriller']",1108561013
Transformers: Age of Extinction,2014,Paramount Pictures,100038390,210000000,PG-13,165.0,"['Action', 'Adventure', 'Science fiction']",1104054072
The Dark Knight Rises,2012,Warner Bros.,160887295,250000000,PG-13,164.0,['Action'],1081041287
Star Wars: Episode IX - The Rise of Skywalker,2019,Walt Disney Studios Motion Pictures,177383864,275000000,PG-13,141.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",1074144248
Joker,2019,Warner Bros.,96202337,55000000,R,122.0,"['Crime', 'Drama', 'Thriller']",1074251311
Toy Story 4,2019,Walt Disney Studios Motion Pictures,120908065,200000000,G,100.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1073394593
Toy Story 3,2010,Walt Disney Studios Motion Pictures,110307189,200000000,,103.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1066969703
Pirates of the Caribbean: Dead Man's Chest,2006,Walt Disney Studios Motion Pictures,135634554,225000000,PG-13,151.0,"['Action', 'Adventure', 'Fantasy']",1066179725
Rogue One: A Star Wars Story,2016,Walt Disney Studios Motion Pictures,155081681,200000000,PG-13,133.0,"['Action', 'Adventure', 'Science fiction']",1056057273
Aladdin,1992,Walt Disney Studios Motion Pictures,196664,28000000,,90.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",346476295
Pirates of the Caribbean: On Stranger Tides,2011,Walt Disney Studios Motion Pictures,90151958,250000000,PG-13,137.0,"['Action', 'Adventure', 'Fantasy']",1045713802
Despicable Me 3,2017,Universal Pictures,72434025,80000000,PG,89.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Science fiction']",1034799409
Jurassic Park,1993,Universal Pictures,47026828,63000000,PG-13,127.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",912667947
Star Wars: Episode I - The Phantom Menace,1999,Twentieth Century Fox,64820970,115000000,PG,136.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",924305084
Alice in Wonderland,2010,Walt Disney Studios Motion Pictures,116101023,200000000,PG,108.0,"['Adventure', 'Family', 'Fantasy']",1025467110
Harry Potter and the Sorcerer's Stone,2001,Warner Bros.,90294621,125000000,PG,152.0,"['Adventure', 'Family', 'Fantasy']",974755371
The Dark Knight,2008,Warner Bros.,158411483,185000000,PG-13,152.0,"['Action', 'Crime', 'Drama', 'Thriller']",1003045358
Despicable Me 2,2013,Universal Pictures,83517315,76000000,PG,98.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Science fiction']",970766005
Jumanji: Welcome to the Jungle,2017,Sony Pictures Entertainment (SPE),36169328,90000000,PG-13,119.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",962077546
Pirates of the Caribbean: At World's End,2007,Walt Disney Studios Motion Pictures,114732820,300000000,PG-13,169.0,"['Action', 'Adventure', 'Fantasy']",960996492
The Lord of the Rings: The Two Towers,2002,New Line Cinema,62007528,94000000,PG-13,179.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",936689735
Harry Potter and the Order of the Phoenix,2007,Warner Bros.,77108414,150000000,PG-13,138.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",941676843
Finding Nemo,2003,Walt Disney Studios Motion Pictures,70251710,94000000,,100.0,"['Adventure', 'Animation', 'Comedy', 'Family']",871014978
Harry Potter and the Half-Blood Prince,2009,Warner Bros.,77835727,250000000,PG,153.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",933959197
Shrek 2,2004,DreamWorks Distribution,108037878,150000000,PG,93.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",928760770
Bohemian Rhapsody,2018,Twentieth Century Fox,51061119,52000000,PG-13,134.0,"['Biography', 'Drama', 'Music']",903655259
The Lord of the Rings: The Fellowship of the Ring,2001,New Line Cinema,47211490,93000000,PG-13,178.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",880839846
